Employee No,Profit Center,Employee Name,Employee Position,Employee Location,People Group,Employee Category,Supervisor name,Join Date,Current Status,Termination Date,Total Hours,Total Available Hours,Work Hours,Leave Hours,Training Hours,BD Hours,NC Hours,Utilization%,Tenure
115,PC - 3,Mathilda Tomi,Level 5,Location 4,Client Service Staff,Confirmed Staff,Oriana Tabby,2012-04-30,Active,2021-11-30,2080,1721.0,1713.0,320.0,39.0,16.0,134.0,0.9953515398024404,3501
118,PC - 3,Suzi Catherin,Level 6,Location 1,Client Service Staff,Confirmed Staff,Nerita Anet,2012-05-31,Active,2021-11-30,2080,1838.0,1634.0,224.0,18.0,0.0,264.0,0.8890097932535365,3470
119,PC - 3,Eydie Francine,Level 5,Location 1,Client Service Staff,Resigned,Lenora Nydia,2012-05-31,Resigned,2018-04-30,2080,1888.0,864.0,192.0,0.0,0.0,1024.0,0.4576271186440678,2160
120,PC - 2,Tersina Cecily,Level 5,Location 7,Client Service Staff,Confirmed Staff,Marys Essy,2012-05-31,Active,2021-11-30,2080,1693.5,1554.5,336.0,50.5,0.0,225.0,0.917921464422793,3470
121,PC - 1,Conni Athene,Level 5,Location 3,Client Service Staff,Confirmed Staff,Alvinia Ede,2012-05-31,Active,2021-11-30,2080,1815.0,885.0,152.0,113.0,0.0,962.0,0.48760330578512395,3470
122,PC - 1,Sybil Georgianna,Level 4,Location 3,Client Service Staff,Confirmed Staff,Jordanna Danya,2012-05-31,Active,2021-11-30,2080,1787.0,974.0,284.0,9.0,0.0,821.0,0.5450475657526581,3470
124,PC - 1,Stacey Cassey,Level 5,Location 3,Client Service Staff,Secondee-Outward-Without Pay,Tallia Eyde,2012-06-30,Secondment,2021-11-30,1040,968.0,200.0,72.0,0.0,0.0,768.0,0.2066115702479339,3440
125,PC - 3,Vivyanne Mia,Level 6,Location 5,Client Service Staff,Confirmed Staff,Nikolia Shirl,2012-06-30,Active,2021-11-30,2080,1716.0,1370.0,328.0,36.0,128.0,250.0,0.7983682983682984,3440
126,PC - 3,Pier Valenka,Level 7,Location 1,Client Service Staff,Resigned,Rosabel Saidee,2012-06-30,Resigned,2017-10-31,1120,1025.0,773.0,95.0,0.0,0.0,252.0,0.7541463414634146,1949
127,PC - 2,Dorene Esmaria,Level 6,Location 7,Client Service Staff,Confirmed Staff,Trenna Mureil,2012-07-31,Active,2021-11-30,2080,2016.0,731.0,64.0,0.0,0.0,1408.0,0.36259920634920634,3409
128,PC - 3,Nerita Anet,Level 4,Location 1,Client Service Staff,Confirmed Staff,Cacilia Aimee,2012-07-31,Active,2021-11-30,2080,1954.0,222.0,104.0,22.0,1761.0,0.0,0.11361310133060389,3409
129,PC - 1,Dael Miranda,Level 6,Location 8,Client Service Staff,Resigned,Lindy Marguerite,2012-07-31,Resigned,2017-08-31,840,800.0,224.0,40.0,0.0,0.0,576.0,0.28,1857
130,PC - 1,Cinnamon Adelaida,Level 6,Location 8,Client Service Staff,Resigned,Lindy Marguerite,2012-07-31,Resigned,2018-01-31,1688,1287.5,1656.0,376.0,24.5,0.0,80.0,1.2862135922330098,2010
131,PC - 3,Alicea Doroteya,Level 6,Location 1,Client Service Staff,Confirmed Staff,Agata Theodosia,2012-07-31,Active,2021-11-30,2080,1838.0,1701.0,208.0,34.0,0.0,194.0,0.9254624591947769,3409
133,PC - 3,Kylen Evania,Level 4,Location 5,Client Service Staff,Resigned,-,2012-08-31,Resigned,2017-11-30,1368,1232.0,96.0,136.0,0.0,1136.0,40.0,0.07792207792207792,1917
791,PC - 3,Refugia Morganti,Level 5,Location 1,Client Service Staff,Confirmed Staff,Guenevere Florida,2012-09-30,Active,2021-11-30,520,480.0,0.0,40.0,0.0,0.0,480.0,0.0,3348
136,PC - 1,Roberta Karylin,Level 7,Location 3,Client Service Staff,Resigned,Jillana Vivi,2012-10-31,Resigned,2017-04-30,152,152.0,38.0,0.0,0.0,0.0,122.0,0.25,1642
138,PC - 1,Marris Gilda,Level 5,Location 3,Client Service Staff,Confirmed Staff,Irene Candis,2012-11-30,Active,2021-11-30,2080,1872.0,187.0,200.0,8.0,0.0,1685.0,0.0998931623931624,3287
139,PC - 2,Dora Jobi,Level 5,Location 7,Client Service Staff,Resigned,Philippe Kizzie,2012-11-30,Resigned,2017-10-31,1168,1021.0,291.0,104.0,43.0,92.0,708.0,0.2850146914789422,1796
140,PC - 1,Vinni Calypso,Level 4,Location 8,Client Service Staff,Confirmed Staff,Kippy Marquita,2012-12-31,Active,2021-11-30,2080,1806.0,856.0,256.0,18.0,0.0,950.0,0.4739756367663344,3256
141,PC - 1,Cherry Fancie,Level 5,Location 3,Client Service Staff,Resigned,Kippy Marquita,2012-12-31,Resigned,2018-02-28,1880,1668.0,1074.0,204.0,8.0,0.0,594.0,0.6438848920863309,1885
142,PC - 3,Holli Lizabeth,Level 6,Location 1,Client Service Staff,Confirmed Staff,Willette Lil,2013-01-31,Active,2021-11-30,2080,1824.0,1842.0,256.0,0.0,0.0,218.0,1.0098684210526316,3225
145,PC - 3,Libbey Rita,Level 5,Location 1,Client Service Staff,Confirmed Staff,Nikolia Shirl,2013-03-31,Active,2021-11-30,2080,1760.0,1560.0,320.0,0.0,0.0,240.0,0.8863636363636364,3166
146,PC - 3,Rosabel Saidee,Level 4,Location 1,Client Service Staff,Confirmed Staff,Cacilia Aimee,2013-04-30,Active,2021-11-30,2080,1928.0,1294.0,152.0,0.0,68.0,572.0,0.671161825726141,3136
149,PC - 3,Kaela Chad,Level 6,Location 1,Client Service Staff,Confirmed Staff,Dottie Bidget,2013-04-30,Active,2021-11-30,2080,1861.0,1732.0,200.0,19.0,0.0,232.0,0.9306824288017195,3136
150,PC - 2,Wynn Sandra,Level 5,Location 7,Client Service Staff,Confirmed Staff,Marys Essy,2013-04-30,Active,2021-11-30,2080,1772.0,1878.0,288.0,20.0,0.0,193.0,1.059819413092551,3136
151,PC - 2,Chrissy Cassie,Level 6,Location 7,Client Service Staff,Confirmed Staff,Laetitia Yoshi,2013-04-30,Active,2021-11-30,2080,1746.0,1828.0,304.0,30.0,0.0,0.0,1.0469644902634594,3136
152,PC - 3,Eilis Carina,Level 6,Location 1,Client Service Staff,Confirmed Staff,Dottie Bidget,2013-05-31,Active,2021-11-30,2080,1373.5,1061.5,704.0,2.5,0.0,320.0,0.772843101565344,3105
154,PC - 1,Enrika Vera,Level 7,Location 3,Client Service Staff,Resigned,Nerissa Jackquelin,2013-05-31,Resigned,2017-09-30,920,816.0,1048.0,104.0,0.0,0.0,0.0,1.2843137254901962,1583
155,PC - 1,Marietta Alyss,Level 6,Location 3,Client Service Staff,Confirmed Staff,Em Cacilie,2013-05-31,Active,2021-11-30,2080,1766.0,1742.0,304.0,10.0,0.0,40.0,0.986409966024915,3105
158,PC - 2,Breena Clarita,Level 6,Location 7,Client Service Staff,Confirmed Staff,Marys Essy,2013-05-31,Active,2021-11-30,2080,1900.0,1798.0,168.0,12.0,0.0,223.0,0.9463157894736842,3105
159,PC - 2,Grata Rochella,Level 5,Location 7,Client Service Staff,Confirmed Staff,Philippe Kizzie,2013-05-31,Active,2021-11-30,2080,1674.0,731.0,256.0,150.0,0.0,1018.0,0.43667861409796893,3105
160,PC - 2,Chicky Karita,Level 5,Location 9,Client Service Staff,Confirmed Staff,Marleah Bernadina,2013-05-31,Active,2021-11-30,2080,1727.5,1420.0,304.0,48.5,276.0,48.0,0.8219971056439942,3105
161,PC - 2,Martina Charline,Level 6,Location 9,Client Service Staff,Confirmed Staff,Marleah Bernadina,2013-05-31,Active,2021-11-30,2080,1779.5,1753.5,288.0,12.5,0.0,52.0,0.9853891542568137,3105
162,PC - 3,Roslyn Donielle,Level 5,Location 1,Client Service Staff,Confirmed Staff,Nikolia Shirl,2013-05-31,Active,2021-11-30,2080,1708.75,1708.75,360.0,11.25,0.0,0.0,1.0,3105
163,PC - 3,Gabriell Kimberlyn,Level 6,Location 2,Client Service Staff,Resigned,Rosabel Saidee,2013-05-31,Resigned,2017-11-30,1304,1200.0,1184.0,104.0,0.0,64.0,40.0,0.9866666666666667,1644
164,PC - 3,Brittney Drusie,Level 6,Location 1,Client Service Staff,Resigned,-,2013-05-31,Resigned,2016-05-31,0,0.0,-32.0,0.0,0.0,0.0,0.0,0.0,1096
165,PC - 3,Benedikta Kirbee,Level 5,Location 1,Client Service Staff,Confirmed Staff,Revkah Stephie,2013-05-31,Active,2021-11-30,2080,1864.75,1412.75,184.0,31.25,0.0,566.0,0.7576082584796889,3105
166,PC - 3,Farah Margarethe,Level 7,Location 1,Client Service Staff,Confirmed Staff,Nerita Anet,2013-05-31,Active,2021-11-30,2080,1869.0,1888.0,200.0,11.0,0.0,24.0,1.0101658640984483,3105
167,PC - 3,Ashla Charmane,Level 6,Location 1,Client Service Staff,Resigned,Vonni Bethena,2013-05-31,Resigned,2018-04-30,2080,1840.0,1728.0,240.0,0.0,0.0,136.0,0.9391304347826087,1795
168,PC - 5,Fan Ivett,Level 6,Location 1,Client Service Staff,Resigned,Guenevere Florida,2013-05-31,Resigned,2017-04-30,120,120.0,0.0,0.0,0.0,0.0,120.0,0.0,1430
170,PC - 2,Eveline Ruthanne,Level 6,Location 7,Client Service Staff,Confirmed Staff,Marys Essy,2013-05-31,Active,2021-11-30,2080,1689.0,1678.0,368.0,23.0,0.0,176.0,0.9934872705743043,3105
171,PC - 2,Bertine Davine,Level 7,Location 7,Client Service Staff,Resigned,Laetitia Yoshi,2013-05-31,Resigned,2017-06-30,400,384.0,392.0,16.0,0.0,0.0,-8.0,1.0208333333333333,1491
172,PC - 3,Trisha Edi,Level 6,Location 1,Client Service Staff,Serving Notice Period,Tiena Hatti,2013-05-31,Active,2021-11-30,2080,2080.0,2080.0,0.0,0.0,0.0,0.0,1.0,3105
173,PC - 2,Felicia Catherina,Level 7,Location 7,Client Service Staff,Resigned,-,2013-06-30,Resigned,2017-08-31,856,808.0,704.0,40.0,8.0,0.0,272.0,0.8712871287128713,1523
175,PC - 2,Belle Kora,Level 6,Location 9,Client Service Staff,Confirmed Staff,Jolyn Briney,2013-06-30,Active,2021-11-30,2080,1790.0,1728.0,288.0,2.0,104.0,16.0,0.9653631284916201,3075
176,PC - 2,Clementina Neila,Level 6,Location 7,Client Service Staff,Confirmed Staff,Trenna Mureil,2013-06-30,Active,2021-11-30,2080,1769.0,1525.5,288.0,23.0,24.0,241.0,0.862351611079706,3075
177,PC - 1,Sheila Papagena,Level 5,Location 3,Client Service Staff,Confirmed Staff,Alvinia Ede,2013-06-30,Active,2021-11-30,2080,1804.5,1797.5,240.0,35.5,0.0,8.0,0.9961208090883902,3075
178,PC - 3,Tamiko Roselia,Level 6,Location 1,Client Service Staff,Confirmed Staff,Willette Lil,2013-06-30,Active,2021-11-30,2080,1794.5,1691.0,224.0,61.5,0.0,106.5,0.9423237670660352,3075
179,PC - 3,Margret Maure,Level 7,Location 1,Client Service Staff,Resigned,Orsa Margeaux,2013-06-30,Resigned,2017-09-30,960,920.0,980.0,40.0,0.0,0.0,160.0,1.065217391304348,1553
180,PC - 1,Crysta Ofelia,Level 6,Location 3,Client Service Staff,Confirmed Staff,Cynthia Leonora,2013-06-30,Active,2021-11-30,2080,1767.25,1409.25,288.0,24.75,0.0,438.0,0.7974253784127883,3075
181,PC - 1,Gloria Robbyn,Level 6,Location 3,Client Service Staff,Confirmed Staff,Trudey Lissi,2013-06-30,Active,2021-11-30,2080,1810.75,1841.5,212.0,57.25,0.0,16.0,1.0169819135717244,3075
182,PC - 1,Fanni Jacki,Level 6,Location 3,Client Service Staff,Resigned,Cynthia Leonora,2013-06-30,Resigned,2017-09-30,960,952.0,813.0,8.0,0.0,0.0,139.0,0.8539915966386554,1553
183,PC - 3,Guillemette Gerda,Level 6,Location 4,Client Service Staff,Confirmed Staff,Danette Melinda,2013-06-30,Active,2021-11-30,2080,1778.25,1852.0,264.0,37.75,0.0,97.0,1.0414733586391114,3075
184,PC - 3,Deeann Dela,Level 6,Location 5,Client Service Staff,Confirmed Staff,Deloris Gabriella,2013-06-30,Active,2021-11-30,2080,1787.0,1743.0,280.0,13.0,0.0,256.0,0.9753777280358142,3075
186,PC - 3,Vanessa Phillie,Level 6,Location 4,Client Service Staff,Confirmed Staff,Danette Melinda,2013-06-30,Active,2021-11-30,2080,1393.5,777.0,664.0,22.5,0.0,624.5,0.5575888051668461,3075
187,PC - 3,Kali Gwendolyn,Level 5,Location 1,Client Service Staff,Confirmed Staff,Zaria Dawn,2013-06-30,Active,2021-11-30,1904,500.8499999999999,31.35,1547.0,12.15,122.5,367.0,0.0625935908954777,3075
188,PC - 3,Morgen Hailee,Level 5,Location 1,Client Service Staff,Confirmed Staff,Guenevere Florida,2013-06-30,Active,2021-11-30,2080,1742.5,1802.5,312.0,25.5,0.0,116.0,1.0344332855093257,3075
792,PC - 3,Angelita Arzu,Level 6,Location 1,Client Service Staff,Confirmed Staff,Orsa Margeaux,2013-06-30,Active,2021-11-30,680,680.0,690.0,0.0,0.0,0.0,0.0,1.0147058823529411,3075
190,PC - 2,Devonna Karlen,Level 7,Location 7,Client Service Staff,Confirmed Staff,Tatiana Roxanna,2013-06-30,Active,2021-11-30,2080,1835.0,1564.0,216.0,29.0,56.0,232.0,0.852316076294278,3075
191,PC - 3,Allyson Ronnie,Level 7,Location 1,Client Service Staff,Confirmed Staff,Gert Editha,2013-06-30,Active,2021-11-30,2080,1697.0,1741.0,357.0,26.0,0.0,0.0,1.0259281084266352,3075
192,PC - 3,Valaria Nichol,Level 6,Location 1,Client Service Staff,Confirmed Staff,Yolanthe Laurella,2013-07-31,Active,2021-11-30,2080,2036.0,2112.0,32.0,12.0,0.0,56.0,1.037328094302554,3044
193,PC - 3,Fenelia Dyanne,Level 6,Location 1,Client Service Staff,Confirmed Staff,Agata Theodosia,2013-07-31,Active,2021-11-30,2080,1821.0,1832.0,248.0,11.0,0.0,0.0,1.0060406370126305,3044
194,PC - 2,Nollie Elene,Level 6,Location 7,Client Service Staff,Confirmed Staff,Nancee Deirdre,2013-07-31,Active,2021-11-30,2080,1850.0,1896.0,180.0,50.0,0.0,80.0,1.0248648648648648,3044
195,PC - 3,Sherill Minerva,Level 6,Location 4,Client Service Staff,Resigned,Oriana Tabby,2013-07-31,Resigned,2017-08-31,840,752.0,395.0,88.0,0.0,0.0,357.0,0.5252659574468085,1492
196,PC - 3,Nanine Prudy,Level 5,Location 1,Client Service Staff,Resigned,Cacilia Aimee,2013-07-31,Resigned,2017-09-30,1000,992.0,171.0,8.0,0.0,0.0,836.0,0.17237903225806453,1522
197,PC - 3,Tressa Cari,Level 6,Location 1,Client Service Staff,Confirmed Staff,Ophelie Jyoti,2013-07-31,Active,2021-11-30,2080,1928.0,1464.0,136.0,16.0,0.0,472.0,0.7593360995850622,3044
793,PC - 3,Bess Sun,Level 6,Location 1,Client Service Staff,Confirmed Staff,Rosalynd Catina,2013-07-31,Active,2021-11-30,336,320.0,272.0,8.0,8.0,0.0,160.0,0.85,3044
198,PC - 3,Henrietta Isidora,Level 6,Location 1,Client Service Staff,Confirmed Staff,Orsa Margeaux,2013-07-31,Active,2021-11-30,2080,480.0,420.0,1600.0,0.0,0.0,140.0,0.875,3044
199,PC - 2,Mira Fiorenze,Level 5,Location 7,Client Service Staff,Confirmed Staff,Lenora Nydia,2013-07-31,Active,2021-11-30,2080,1892.5,1229.0,184.0,3.5,0.0,722.5,0.6494055482166446,3044
200,PC - 3,Dottie Bidget,Level 4,Location 1,Client Service Staff,Confirmed Staff,Kalindi Toma,2013-07-31,Active,2021-11-30,2080,1825.0,450.0,208.0,47.0,1419.0,6.0,0.2465753424657534,3044
201,PC - 2,Tatiana Roxanna,Level 5,Location 7,Client Service Staff,Confirmed Staff,Dore Natalya,2013-07-31,Active,2021-11-30,2080,1756.5,923.0,240.0,83.5,0.0,1039.0,0.5254768004554512,3044
202,PC - 3,Juliette Sheila-Kathryn,Level 7,Location 1,Support Staff,Resigned,Revkah Stephie,2013-07-31,Resigned,2017-05-31,320,-40.0,0.0,360.0,0.0,0.0,0.0,0.0,1400
203,PC - 2,Kati Rosalyn,Level 5,Location 7,Client Service Staff,Confirmed Staff,Beverley Laney,2013-08-31,Active,2021-11-30,2080,1799.5,939.0,232.0,48.5,568.5,348.0,0.5218116143373159,3013
207,PC - 2,Jaquith Sarah,Level 6,Location 7,Client Service Staff,Confirmed Staff,Frances Mignonne,2013-09-30,Active,2021-11-30,2080,1820.0,775.0,220.0,40.0,0.0,1128.0,0.4258241758241758,2983
209,PC - 3,Jennilee Hedvige,Level 7,Location 1,Client Service Staff,Confirmed Staff,Kathye Edna,2013-10-31,Active,2021-11-30,2080,1858.0,1170.0,208.0,14.0,0.0,700.0,0.6297093649085038,2952
210,PC - 1,Audi Stephana,Level 4,Location 8,Client Service Staff,Confirmed Staff,Alvinia Ede,2013-10-31,Active,2021-11-30,2080,1848.0,791.0,192.0,40.0,1049.0,24.0,0.42803030303030304,2952
212,PC - 3,Yvonne Annora,Level 7,Location 1,Client Service Staff,Confirmed Staff,Kristina Alleen,2013-10-31,Active,2021-11-30,2080,1938.0,1189.0,104.0,38.0,0.0,760.0,0.6135190918472653,2952
214,PC - 1,Nada Zarah,Level 7,Location 3,Client Service Staff,Confirmed Staff,Lee Alfie,2013-11-30,Active,2021-11-30,2080,1816.0,1600.0,264.0,0.0,0.0,496.0,0.8810572687224669,2922
215,PC - 1,Fredia Caryn,Level 7,Location 3,Client Service Staff,Confirmed Staff,Lian Harley,2013-11-30,Active,2021-11-30,2080,2080.0,1800.0,0.0,0.0,0.0,280.0,0.8653846153846154,2922
216,PC - 1,Wenona Datha,Level 7,Location 3,Client Service Staff,Secondee-Outward-Without Pay,Cynthia Leonora,2013-11-30,Secondment,2021-11-30,1840,1840.0,1560.0,0.0,0.0,0.0,280.0,0.8478260869565217,2922
218,PC - 1,Valerie Cathy,Level 6,Location 3,Client Service Staff,Confirmed Staff,Katuscha Pru,2013-12-31,Active,2021-11-30,2080,1831.5,264.0,224.0,24.5,0.0,1631.5,0.14414414414414414,2891
220,PC - 3,Dolly Carlynne,Level 7,Location 1,Client Service Staff,Confirmed Staff,Tiena Hatti,2013-12-31,Active,2021-11-30,2080,1788.0,1780.0,264.0,28.0,10.0,16.0,0.9955257270693513,2891
221,PC - 1,Margo Opaline,Level 5,Location 3,Client Service Staff,Confirmed Staff,Ardys Katerine,2013-12-31,Active,2021-11-30,2080,1918.5,842.0,152.0,9.5,0.0,1076.5,0.43888454521761794,2891
223,PC - 2,Aloise Asia,Level 6,Location 7,Client Service Staff,Confirmed Staff,Frances Mignonne,2014-01-31,Active,2021-11-30,2080,1888.0,1440.0,168.0,24.0,0.0,456.0,0.7627118644067796,2860
226,PC - 1,Shanie Kipp,Level 7,Location 3,Client Service Staff,Confirmed Staff,Ezmeralda Nisse,2013-12-31,Active,2021-11-30,2080,1687.0,1687.0,392.0,1.0,0.0,0.0,1.0,2891
228,PC - 3,Kassandra Ki,Level 6,Location 1,Client Service Staff,Confirmed Staff,Willette Lil,2014-02-28,Active,2021-11-30,2080,1847.5,2048.0,216.0,16.5,0.0,150.0,1.1085250338294994,2832
229,PC - 3,Bernelle Elysha,Level A3,Location 1,Support Staff,Confirmed Staff,Tallia Eyde,2014-02-28,Active,2021-11-30,2080,1846.7,0.0,232.0,1.3,0.0,1854.0,0.0,2832
230,PC - 2,Bamby Zahara,Level 7,Location 7,Client Service Staff,Resigned,Jillian Lorelei,2014-03-31,Resigned,2017-12-31,1520,1399.5,1082.0,104.0,16.5,441.0,220.0,0.7731332618792426,1371
231,PC - 1,Kippy Marquita,Level 4,Location 3,Client Service Staff,Confirmed Staff,Rochette Jilleen,2014-03-31,Active,2021-11-30,2080,1960.0,855.5,120.0,0.0,1106.0,0.0,0.4364795918367347,2801
232,PC - 3,Christina Desdemona,Level 5,Location 1,Client Service Staff,Confirmed Staff,Tiena Hatti,2014-03-31,Active,2021-11-30,2080,1844.0,1904.0,200.0,36.0,0.0,32.0,1.032537960954447,2801
794,PC - 2,Rosanne Laster,Level 7,Location 7,Client Service Staff,Confirmed Staff,Myrtie Brana,2014-03-31,Active,2021-11-30,688,653.0,445.0,32.0,3.0,0.0,0.0,0.6814701378254211,2801
234,PC - 3,Fanchon Vitia,Level 6,Location 1,Client Service Staff,Serving Notice Period,Vonni Bethena,2014-03-31,Active,2021-11-30,2080,1688.0,1854.0,272.0,120.0,8.0,16.0,1.0983412322274881,2801
235,PC - 3,Olva Fanny,Level 8,Location 2,Client Service Staff,Resigned,Tallia Eyde,2014-04-30,Resigned,2017-09-30,104,104.0,0.0,0.0,0.0,0.0,0.0,0.0,1249
236,PC - 5,Magda Sibella,Level 8,Location 3,Client Service Staff,Resigned,Gavra Kayle,2014-05-31,Resigned,2017-05-31,304,304.0,304.0,0.0,0.0,0.0,16.0,1.0,1096
237,PC - 2,Samantha Marylee,Level 6,Location 9,Client Service Staff,Resigned,Lenora Nydia,2014-06-30,Resigned,2017-10-31,1120,897.5,901.5,200.0,22.5,0.0,8.0,1.004456824512535,1219
238,PC - 3,Jewel Theressa,Level 7,Location 1,Client Service Staff,Confirmed Staff,Misti Helena,2014-06-30,Active,2021-11-30,2080,1800.0,1680.0,280.0,0.0,0.0,120.0,0.9333333333333333,2710
239,PC - 3,Velvet Mariana,Level 7,Location 1,Client Service Staff,Secondee-Outward-Without Pay,Ophelie Jyoti,2014-06-30,Secondment,2021-11-30,1840,1569.5,1583.0,248.0,22.5,0.0,8.0,1.0086014654348519,2710
240,PC - 1,Georgina Clarinda,Level 7,Location 3,Client Service Staff,Resigned,Em Cacilie,2014-06-30,Resigned,2017-11-30,1360,1224.0,1030.0,136.0,0.0,0.0,194.0,0.8415032679738562,1249
241,PC - 3,Clarabelle Gae,Level 7,Location 1,Client Service Staff,Resigned,Misti Helena,2014-06-30,Resigned,2017-12-31,1520,1368.0,1312.0,152.0,0.0,0.0,56.0,0.9590643274853801,1280
242,PC - 1,Ebony Cordy,Level 7,Location 3,Client Service Staff,Confirmed Staff,Gisella Nickie,2014-06-30,Active,2021-11-30,2080,1808.5,1620.0,256.0,15.5,0.0,258.5,0.8957699751175007,2710
243,PC - 1,Gaby Ellie,Level 6,Location 3,Client Service Staff,Confirmed Staff,Vinni Calypso,2014-06-30,Active,2021-11-30,2080,1800.0,1508.0,272.0,8.0,0.0,356.0,0.8377777777777777,2710
244,PC - 1,Dotti Laureen,Level 5,Location 6,Client Service Staff,Confirmed Staff,Trudey Lissi,2014-06-30,Active,2021-11-30,2080,1822.0,1465.0,248.0,10.0,0.0,369.0,0.8040614709110867,2710
245,PC - 2,Carleen Maryrose,Level 7,Location 7,Client Service Staff,Confirmed Staff,Terza Gwyn,2014-06-30,Active,2021-11-30,2080,1302.3400000000001,1275.0,744.0,33.66,0.0,150.5,0.9790070181365849,2710
247,PC - 2,Lucita Jolie,Level 6,Location 7,Client Service Staff,Confirmed Staff,Marys Essy,2014-06-30,Active,2021-11-30,2080,1812.0,1670.0,200.0,68.0,0.0,192.0,0.9216335540838853,2710
249,PC - 1,Tillie Abbie,Level 6,Location 3,Client Service Staff,Confirmed Staff,Audi Stephana,2014-06-30,Active,2021-11-30,2080,1767.0,1705.0,300.0,13.0,40.0,52.0,0.9649122807017544,2710
250,PC - 3,Raye Emmye,Level 6,Location 4,Client Service Staff,Confirmed Staff,Danette Melinda,2014-06-30,Active,2021-11-30,2080,1774.5,1587.0,276.0,29.5,0.0,340.0,0.8943364327979713,2710
251,PC - 3,Nessie Lotta,Level 6,Location 1,Client Service Staff,Confirmed Staff,Orsa Margeaux,2014-06-30,Active,2021-11-30,2080,1820.0,1914.0,260.0,0.0,0.0,56.0,1.0516483516483517,2710
252,PC - 1,Emmalyn Cecile,Level 6,Location 3,Client Service Staff,Confirmed Staff,Sybil Georgianna,2014-06-30,Active,2021-11-30,2080,1852.0,1820.0,200.0,28.0,16.0,32.0,0.9827213822894169,2710
253,PC - 1,Lindy Marguerite,Level 3,Location 3,Client Service Staff,Confirmed Staff,Rochette Jilleen,2014-06-30,Active,2021-11-30,2080,1808.0,206.0,224.0,48.0,1660.0,0.0,0.11393805309734513,2710
255,PC - 3,Alaine Kare,Level 7,Location 4,Client Service Staff,Confirmed Staff,Danette Melinda,2014-06-30,Active,2021-11-30,2080,1506.0,1309.0,574.0,0.0,0.0,229.0,0.8691899070385126,2710
257,PC - 3,Fleur Wallis,Level 7,Location 1,Client Service Staff,Confirmed Staff,Dottie Bidget,2014-06-30,Active,2021-11-30,2080,1840.0,1764.0,224.0,16.0,0.0,296.0,0.9586956521739131,2710
258,PC - 3,Beryl Elysia,Level 7,Location 1,Client Service Staff,Confirmed Staff,Nerita Anet,2014-06-30,Active,2021-11-30,2080,1778.5,1686.0,300.0,1.5,0.0,236.0,0.9479898791116109,2710
259,PC - 3,Mara Gusella,Level 6,Location 1,Client Service Staff,Confirmed Staff,Kristina Alleen,2014-06-30,Active,2021-11-30,2080,1838.0,1764.0,224.0,18.0,0.0,142.0,0.9597388465723613,2710
260,PC - 3,Kerry Noelani,Level 7,Location 1,Client Service Staff,Confirmed Staff,Marina Garnette,2014-06-30,Active,2021-11-30,2080,1872.0,1542.0,208.0,0.0,0.0,418.0,0.8237179487179487,2710
261,PC - 3,Merlina Anetta,Level 7,Location 1,Client Service Staff,Confirmed Staff,Marina Garnette,2014-06-30,Active,2021-11-30,2080,1790.5,1824.0,280.0,9.5,0.0,0.0,1.018709857581681,2710
263,PC - 1,Ralina Jolene,Level 7,Location 3,Client Service Staff,Confirmed Staff,Nerissa Jackquelin,2014-06-30,Active,2021-11-30,2080,1736.0,1791.0,320.0,24.0,0.0,8.0,1.0316820276497696,2710
264,PC - 2,Annis Maritsa,Level 6,Location 7,Client Service Staff,Confirmed Staff,Trenna Mureil,2014-06-30,Active,2021-11-30,2080,1769.0,1736.0,288.0,23.0,40.0,0.0,0.9813453928773318,2710
265,PC - 2,Biddie Alidia,Level 7,Location 7,Client Service Staff,Resigned,Terza Gwyn,2014-06-30,Resigned,2017-06-30,352,336.0,336.0,16.0,0.0,0.0,8.0,1.0,1096
268,PC - 3,Lane Ailina,Level 5,Location 1,Client Service Staff,Confirmed Staff,Guenevere Florida,2014-06-30,Active,2021-11-30,2080,1820.0,1240.0,220.0,40.0,0.0,764.0,0.6813186813186813,2710
270,PC - 1,Marcelia Ruthie,Level 7,Location 3,Client Service Staff,Confirmed Staff,Conni Athene,2014-06-30,Active,2021-11-30,2080,1820.25,1722.75,240.0,19.75,0.0,105.5,0.9464359291306139,2710
271,PC - 2,Kat Kirbie,Level 7,Location 7,Client Service Staff,Resigned,Frances Mignonne,2014-07-31,Resigned,2017-08-31,856,832.0,432.0,24.0,0.0,0.0,424.0,0.5192307692307693,1127
272,PC - 3,Kissee Florence,Level 6,Location 1,Client Service Staff,Confirmed Staff,Tallia Eyde,2014-08-31,Active,2021-11-30,2080,1888.0,1586.0,160.0,32.0,40.0,384.0,0.840042372881356,2648
795,PC - 3,Dominic Kopczynski,Level 7,Location 1,Client Service Staff,Confirmed Staff,Vonni Bethena,2014-09-30,Active,2021-11-30,1040,779.5,655.5,256.0,4.5,0.0,128.0,0.8409236690186017,2618
275,PC - 3,Cordula Devan,Level 5,Location 1,Client Service Staff,Confirmed Staff,Guenevere Florida,2014-09-30,Active,2021-11-30,2080,1760.0,1031.0,320.0,0.0,0.0,798.0,0.5857954545454546,2618
276,PC - 3,Andee Hermione,Level 6,Location 1,Client Service Staff,Confirmed Staff,Willette Lil,2014-09-30,Active,2021-11-30,2080,1952.0,87.0,128.0,0.0,0.0,1865.0,0.04456967213114754,2618
